nq;xmax;xmin;nvar;unc
512;10.00;-10.00;1.00e-03;0.065506
512;10.00;-10.00;1.00e-04;0.028762
512;5.00;-5.00;1.00e-02;0.19676
1024;5.00;-5.00;1.00e-01;0.62044
2048;5.00;-5.00;1.00e-05;0.0067929
